Report,Page,Bookmark,Source File,Source Page,Folder
Specialty Clinics Referral Process Measures,1,Cover,Referral Process Measures,1,referrals
Specialty Clinics Referral Process Measures,2,Process Times,Referral Process Measures,2,referrals
Specialty Clinics Referral Process Measures,3,Routine,Referral Process Measures,3,referrals
Specialty Clinics Referral Process Measures,4,Urgent,Referral Process Measures,4,referrals
Specialty Clinics Referral Process Measures,5,Cardiology,Referral Process Measures,5,referrals
Specialty Clinics Referral Process Measures,6,Cardiology,Referral Process Measures,6,referrals
Specialty Clinics Referral Process Measures,7,Cardiology,Referral Process Measures,7,referrals
Specialty Clinics Referral Process Measures,8,Dermatology,Referral Process Measures,8,referrals
Specialty Clinics Referral Process Measures,9,Dermatology,Referral Process Measures,9,referrals
Specialty Clinics Referral Process Measures,10,Dermatology,Referral Process Measures,10,referrals
Specialty Clinics Referral Process Measures,11,Endocrinology,Referral Process Measures,11,referrals
Specialty Clinics Referral Process Measures,12,Endocrinology,Referral Process Measures,12,referrals
Specialty Clinics Referral Process Measures,13,Endocrinology,Referral Process Measures,13,referrals
Specialty Clinics Referral Process Measures,14,Gastroenterology,Referral Process Measures,14,referrals
Specialty Clinics Referral Process Measures,15,Gastroenterology,Referral Process Measures,15,referrals
Specialty Clinics Referral Process Measures,16,Gastroenterology,Referral Process Measures,16,referrals
Specialty Clinics Referral Process Measures,17,Hepatology,Referral Process Measures,17,referrals
Specialty Clinics Referral Process Measures,18,Hepatology,Referral Process Measures,18,referrals
Specialty Clinics Referral Process Measures,19,Hepatology,Referral Process Measures,19,referrals
Specialty Clinics Referral Process Measures,20,Immunology,Referral Process Measures,20,referrals
Specialty Clinics Referral Process Measures,21,Immunology,Referral Process Measures,21,referrals
Specialty Clinics Referral Process Measures,22,Immunology,Referral Process Measures,22,referrals
Specialty Clinics Referral Process Measures,23,Internal Medicine,Referral Process Measures,23,referrals
Specialty Clinics Referral Process Measures,24,Internal Medicine,Referral Process Measures,24,referrals
Specialty Clinics Referral Process Measures,25,Internal Medicine,Referral Process Measures,25,referrals
Specialty Clinics Referral Process Measures,26,Nephrology,Referral Process Measures,26,referrals
Specialty Clinics Referral Process Measures,27,Nephrology,Referral Process Measures,27,referrals
Specialty Clinics Referral Process Measures,28,Nephrology,Referral Process Measures,28,referrals
Specialty Clinics Referral Process Measures,29,Neurology,Referral Process Measures,29,referrals
Specialty Clinics Referral Process Measures,30,Neurology,Referral Process Measures,30,referrals
Specialty Clinics Referral Process Measures,31,Neurology,Referral Process Measures,31,referrals
Specialty Clinics Referral Process Measures,32,Oncology,Referral Process Measures,32,referrals
Specialty Clinics Referral Process Measures,33,Oncology,Referral Process Measures,33,referrals
Specialty Clinics Referral Process Measures,34,Oncology,Referral Process Measures,34,referrals
Specialty Clinics Referral Process Measures,35,Ophthalmology,Referral Process Measures,35,referrals
Specialty Clinics Referral Process Measures,36,Ophthalmology,Referral Process Measures,36,referrals
Specialty Clinics Referral Process Measures,37,Ophthalmology,Referral Process Measures,37,referrals
Specialty Clinics Referral Process Measures,38,Orthopedics,Referral Process Measures,38,referrals
Specialty Clinics Referral Process Measures,39,Orthopedics,Referral Process Measures,39,referrals
Specialty Clinics Referral Process Measures,40,Orthopedics,Referral Process Measures,40,referrals
Specialty Clinics Referral Process Measures,41,Otolaryngology,Referral Process Measures,41,referrals
Specialty Clinics Referral Process Measures,42,Otolaryngology,Referral Process Measures,42,referrals
Specialty Clinics Referral Process Measures,43,Otolaryngology,Referral Process Measures,43,referrals
Specialty Clinics Referral Process Measures,44,Pain Management,Referral Process Measures,44,referrals
Specialty Clinics Referral Process Measures,45,Pain Management,Referral Process Measures,45,referrals
Specialty Clinics Referral Process Measures,46,Pain Management,Referral Process Measures,46,referrals
Specialty Clinics Referral Process Measures,47,Podiatry,Referral Process Measures,47,referrals
Specialty Clinics Referral Process Measures,48,Podiatry,Referral Process Measures,48,referrals
Specialty Clinics Referral Process Measures,49,Podiatry,Referral Process Measures,49,referrals
Specialty Clinics Referral Process Measures,50,Pulmonology,Referral Process Measures,50,referrals
Specialty Clinics Referral Process Measures,51,Pulmonology,Referral Process Measures,51,referrals
Specialty Clinics Referral Process Measures,52,Pulmonology,Referral Process Measures,52,referrals
Specialty Clinics Referral Process Measures,53,Rheumatology,Referral Process Measures,53,referrals
Specialty Clinics Referral Process Measures,54,Rheumatology,Referral Process Measures,54,referrals
Specialty Clinics Referral Process Measures,55,Rheumatology,Referral Process Measures,55,referrals
Specialty Clinics Referral Process Measures,56,Sleep Disorders Laboratory,Referral Process Measures,56,referrals
Specialty Clinics Referral Process Measures,57,Sleep Disorders Laboratory,Referral Process Measures,57,referrals
Specialty Clinics Referral Process Measures,58,Sleep Disorders Laboratory,Referral Process Measures,58,referrals
Specialty Clinics Referral Process Measures,59,Urology,Referral Process Measures,59,referrals
Specialty Clinics Referral Process Measures,60,Urology,Referral Process Measures,60,referrals
Specialty Clinics Referral Process Measures,61,Urology,Referral Process Measures,61,referrals
Cardiology Referral Process Measures,1,Cover,Referral Process Measures - Covers,1,referrals
Cardiology Referral Process Measures,2,Cardiology,Referral Process Measures,5,referrals
Cardiology Referral Process Measures,3,Pending,Referral Process Measures,6,referrals
Cardiology Referral Process Measures,4,CRM Use,Referral Process Measures,7,referrals
Dermatology Referral Process Measures,1,Cover,Referral Process Measures - Covers,2,referrals
Dermatology Referral Process Measures,2,Dermatology,Referral Process Measures,8,referrals
Dermatology Referral Process Measures,3,Pending,Referral Process Measures,9,referrals
Dermatology Referral Process Measures,4,CRM Use,Referral Process Measures,10,referrals
Endocrinology Referral Process Measures,1,Cover,Referral Process Measures - Covers,3,referrals
Endocrinology Referral Process Measures,2,Endocrinology,Referral Process Measures,11,referrals
Endocrinology Referral Process Measures,3,Pending,Referral Process Measures,12,referrals
Endocrinology Referral Process Measures,4,CRM Use,Referral Process Measures,13,referrals
Gastroenterology Referral Process Measures,1,Cover,Referral Process Measures - Covers,4,referrals
Gastroenterology Referral Process Measures,2,Gastroenterology,Referral Process Measures,14,referrals
Gastroenterology Referral Process Measures,3,Pending,Referral Process Measures,15,referrals
Gastroenterology Referral Process Measures,4,CRM Use,Referral Process Measures,16,referrals
Hepatology Referral Process Measures,1,Cover,Referral Process Measures - Covers,5,referrals
Hepatology Referral Process Measures,2,Hepatology,Referral Process Measures,17,referrals
Hepatology Referral Process Measures,3,Pending,Referral Process Measures,18,referrals
Hepatology Referral Process Measures,4,CRM Use,Referral Process Measures,19,referrals
Immunology Referral Process Measures,1,Cover,Referral Process Measures - Covers,6,referrals
Immunology Referral Process Measures,2,Immunology,Referral Process Measures,20,referrals
Immunology Referral Process Measures,3,Pending,Referral Process Measures,21,referrals
Immunology Referral Process Measures,4,CRM Use,Referral Process Measures,22,referrals
Internal Medicine Referral Process Measures,1,Cover,Referral Process Measures - Covers,7,referrals
Internal Medicine Referral Process Measures,2,Internal Medicine,Referral Process Measures,23,referrals
Internal Medicine Referral Process Measures,3,Pending,Referral Process Measures,24,referrals
Internal Medicine Referral Process Measures,4,CRM Use,Referral Process Measures,25,referrals
Nephrology Referral Process Measures,1,Cover,Referral Process Measures - Covers,8,referrals
Nephrology Referral Process Measures,2,Nephrology,Referral Process Measures,26,referrals
Nephrology Referral Process Measures,3,Pending,Referral Process Measures,27,referrals
Nephrology Referral Process Measures,4,CRM Use,Referral Process Measures,28,referrals
Neurology Referral Process Measures,1,Cover,Referral Process Measures - Covers,9,referrals
Neurology Referral Process Measures,2,Neurology,Referral Process Measures,29,referrals
Neurology Referral Process Measures,3,Pending,Referral Process Measures,30,referrals
Neurology Referral Process Measures,4,CRM Use,Referral Process Measures,31,referrals
Oncology Referral Process Measures,1,Cover,Referral Process Measures - Covers,10,referrals
Oncology Referral Process Measures,2,Oncology,Referral Process Measures,32,referrals
Oncology Referral Process Measures,3,Pending,Referral Process Measures,33,referrals
Oncology Referral Process Measures,4,CRM Use,Referral Process Measures,34,referrals
Ophthalmology Referral Process Measures,1,Cover,Referral Process Measures - Covers,11,referrals
Ophthalmology Referral Process Measures,2,Ophthalmology,Referral Process Measures,35,referrals
Ophthalmology Referral Process Measures,3,Pending,Referral Process Measures,36,referrals
Ophthalmology Referral Process Measures,4,CRM Use,Referral Process Measures,37,referrals
Orthopedics Referral Process Measures,1,Cover,Referral Process Measures - Covers,12,referrals
Orthopedics Referral Process Measures,2,Orthopedics,Referral Process Measures,38,referrals
Orthopedics Referral Process Measures,3,Pending,Referral Process Measures,39,referrals
Orthopedics Referral Process Measures,4,CRM Use,Referral Process Measures,40,referrals
Otolaryngology Referral Process Measures,1,Cover,Referral Process Measures - Covers,13,referrals
Otolaryngology Referral Process Measures,2,Otolaryngology,Referral Process Measures,41,referrals
Otolaryngology Referral Process Measures,3,Pending,Referral Process Measures,42,referrals
Otolaryngology Referral Process Measures,4,CRM Use,Referral Process Measures,43,referrals
Pain Management Referral Process Measures,1,Cover,Referral Process Measures - Covers,14,referrals
Pain Management Referral Process Measures,2,Pain Management,Referral Process Measures,44,referrals
Pain Management Referral Process Measures,3,Pending,Referral Process Measures,45,referrals
Pain Management Referral Process Measures,4,CRM Use,Referral Process Measures,46,referrals
Podiatry Referral Process Measures,1,Cover,Referral Process Measures - Covers,15,referrals
Podiatry Referral Process Measures,2,Podiatry,Referral Process Measures,47,referrals
Podiatry Referral Process Measures,3,Pending,Referral Process Measures,48,referrals
Podiatry Referral Process Measures,4,CRM Use,Referral Process Measures,49,referrals
Pulmonology Referral Process Measures,1,Cover,Referral Process Measures - Covers,16,referrals
Pulmonology Referral Process Measures,2,Pulmonology,Referral Process Measures,50,referrals
Pulmonology Referral Process Measures,3,Pending,Referral Process Measures,51,referrals
Pulmonology Referral Process Measures,4,CRM Use,Referral Process Measures,52,referrals
Rheumatology Referral Process Measures,1,Cover,Referral Process Measures - Covers,17,referrals
Rheumatology Referral Process Measures,2,Rheumatology,Referral Process Measures,53,referrals
Rheumatology Referral Process Measures,3,Pending,Referral Process Measures,54,referrals
Rheumatology Referral Process Measures,4,CRM Use,Referral Process Measures,55,referrals
Sleep Disorders Laboratory Referral Process Measures,1,Cover,Referral Process Measures - Covers,18,referrals
Sleep Disorders Laboratory Referral Process Measures,2,Sleep Disorders Laboratory,Referral Process Measures,56,referrals
Sleep Disorders Laboratory Referral Process Measures,3,Pending,Referral Process Measures,57,referrals
Sleep Disorders Laboratory Referral Process Measures,4,CRM Use,Referral Process Measures,58,referrals
Urology Referral Process Measures,1,Cover,Referral Process Measures - Covers,19,referrals
Urology Referral Process Measures,2,Urology,Referral Process Measures,59,referrals
Urology Referral Process Measures,3,Pending,Referral Process Measures,60,referrals
Urology Referral Process Measures,4,CRM Use,Referral Process Measures,61,referrals